month,total.total,timeRange.start,timeRange.end
2009-06-21T00:00:00.000Z,787,2009-06-21T00:00:00.000Z,2009-06-22T00:00:00.000Z
2009-06-22T00:00:00.000Z,905,2009-06-22T00:00:00.000Z,2009-06-23T00:00:00.000Z
2009-06-23T00:00:00.000Z,924,2009-06-23T00:00:00.000Z,2009-06-24T00:00:00.000Z
2009-06-24T00:00:00.000Z,868,2009-06-24T00:00:00.000Z,2009-06-25T00:00:00.000Z
2009-06-25T00:00:00.000Z,892,2009-06-25T00:00:00.000Z,2009-06-26T00:00:00.000Z
2009-06-26T00:00:00.000Z,852,2009-06-26T00:00:00.000Z,2009-06-27T00:00:00.000Z
2009-06-27T00:00:00.000Z,799,2009-06-27T00:00:00.000Z,2009-06-28T00:00:00.000Z
2009-06-28T00:00:00.000Z,822,2009-06-28T00:00:00.000Z,2009-06-29T00:00:00.000Z
2009-06-29T00:00:00.000Z,936,2009-06-29T00:00:00.000Z,2009-06-30T00:00:00.000Z
2009-06-30T00:00:00.000Z,938,2009-06-30T00:00:00.000Z,2009-07-01T00:00:00.000Z
2009-07-01T00:00:00.000Z,879,2009-07-01T00:00:00.000Z,2009-07-02T00:00:00.000Z
2009-07-02T00:00:00.000Z,820,2009-07-02T00:00:00.000Z,2009-07-03T00:00:00.000Z
2009-07-03T00:00:00.000Z,801,2009-07-03T00:00:00.000Z,2009-07-04T00:00:00.000Z
2009-07-04T00:00:00.000Z,744,2009-07-04T00:00:00.000Z,2009-07-05T00:00:00.000Z
2009-07-05T00:00:00.000Z,801,2009-07-05T00:00:00.000Z,2009-07-06T00:00:00.000Z
2009-07-06T00:00:00.000Z,863,2009-07-06T00:00:00.000Z,2009-07-07T00:00:00.000Z
2009-07-07T00:00:00.000Z,856,2009-07-07T00:00:00.000Z,2009-07-08T00:00:00.000Z
2009-07-08T00:00:00.000Z,817,2009-07-08T00:00:00.000Z,2009-07-09T00:00:00.000Z
2009-07-09T00:00:00.000Z,786,2009-07-09T00:00:00.000Z,2009-07-10T00:00:00.000Z
2009-07-10T00:00:00.000Z,812,2009-07-10T00:00:00.000Z,2009-07-11T00:00:00.000Z
2009-07-11T00:00:00.000Z,650,2009-07-11T00:00:00.000Z,2009-07-12T00:00:00.000Z
2009-07-12T00:00:00.000Z,732,2009-07-12T00:00:00.000Z,2009-07-13T00:00:00.000Z
2009-07-13T00:00:00.000Z,776,2009-07-13T00:00:00.000Z,2009-07-14T00:00:00.000Z
2009-07-14T00:00:00.000Z,835,2009-07-14T00:00:00.000Z,2009-07-15T00:00:00.000Z
2009-07-15T00:00:00.000Z,819,2009-07-15T00:00:00.000Z,2009-07-16T00:00:00.000Z
2009-07-16T00:00:00.000Z,801,2009-07-16T00:00:00.000Z,2009-07-17T00:00:00.000Z
2009-07-17T00:00:00.000Z,826,2009-07-17T00:00:00.000Z,2009-07-18T00:00:00.000Z
2009-07-18T00:00:00.000Z,775,2009-07-18T00:00:00.000Z,2009-07-19T00:00:00.000Z
2009-07-19T00:00:00.000Z,776,2009-07-19T00:00:00.000Z,2009-07-20T00:00:00.000Z
2009-07-20T00:00:00.000Z,852,2009-07-20T00:00:00.000Z,2009-07-21T00:00:00.000Z
2009-07-21T00:00:00.000Z,871,2009-07-21T00:00:00.000Z,2009-07-22T00:00:00.000Z
2009-07-22T00:00:00.000Z,810,2009-07-22T00:00:00.000Z,2009-07-23T00:00:00.000Z
2009-07-23T00:00:00.000Z,800,2009-07-23T00:00:00.000Z,2009-07-24T00:00:00.000Z
2009-07-24T00:00:00.000Z,824,2009-07-24T00:00:00.000Z,2009-07-25T00:00:00.000Z
2009-07-25T00:00:00.000Z,712,2009-07-25T00:00:00.000Z,2009-07-26T00:00:00.000Z
2009-07-26T00:00:00.000Z,758,2009-07-26T00:00:00.000Z,2009-07-27T00:00:00.000Z
2009-07-27T00:00:00.000Z,900,2009-07-27T00:00:00.000Z,2009-07-28T00:00:00.000Z
