Wikipédia:Pas d'attaque personnelle	NA	(?:\bW(?:ikipédia:Pas d'attaque personnelle|P:(?:PAP|WAT))\b)
Wikipédia:Pas de menace de poursuites judiciaires	NA	(?:\bW(?:ikipédia:Pas de menace de poursuites judiciaires|P:P?MPJ)\b)
Wikipédia:Principe de moindre surprise	NA	(?:\bW(?:ikipédia:Principe de moindre surprise|P:PMS)\b)
Wikipédia:Protection	NA	(?:\bW(?:ikipédia:Protection|P:PR)\b)
Wikipédia:Règle des trois révocations	NA	(?:\bW(?:ikipédia:Règle des trois révocations|P:R3R)\b)
Wikipédia:Résolution de conflit	NA	(?:\bW(?:ikipédia:Résolution de conflit|P:RDC)\b)
Wikipédia:Résumé introductif	NA	(?:\bW(?:ikipédia:Résumé introductif|P:(?:INTRO|RI))\b)
Wikipédia:Révocateur	NA	(?:\bW(?:ikipédia:Révocateur|P:ROLLBACK)\b)
Wikipédia:Scission de contenu	NA	(?:\bW(?:ikipédia:Scission de contenu|P:(?:FORK|SC))\b)
Wikipédia:Sections anecdotiques	NA	(?:\bW(?:ikipédia:Sections anecdotiques|P:TRIVIA)\b)
Wikipédia:Semi-protection étendue	NA	(?:\bWikipédia:Semi-protection étendue\b)
Aide:Signature	NA	(?:\b(?:Aide:Signature|WP:SIGN)\b)
Wikipédia:Sources primaires, secondaires et tertiaires	NA	(?:\bW(?:ikipédia:Sources primaires|P:SPS[PS]?)\b)
Wikipédia:Sous-page	NA	(?:\bW(?:ikipédia:Sous-page|P:SSP)\b)
Wikipédia:Style encyclopédique	NA	(?:\bW(?:ikipédia:Style encyclopédique|P:(?:PRECIS|CLAIR|STYLE))\b)
Wikipédia:Supposer la bonne foi	NA	(?:\bW(?:ikipédia:Supposer la bonne foi|P:FOI)\b)
Wikipédia:Termes à utiliser avec précaution	NA	(?:\bW(?:ikipédia:Termes à utiliser avec précaution|P:TUP)\b)
Wikipédia:Toujours commenter vos modifications dans la boîte de résumé	NA	(?:\bW(?:ikipédia:Toujours commenter vos modifications dans la boîte de résum|P:COMMENT)\b)
Wikipédia:Traduction automatique	NA	(?:\bW(?:ikipédia:Traduction automatique|P:TA)\b)
Wikipédia:Transcription des langues indiennes	NA	(?:\bW(?:ikipédia:Transcription des langues indiennes|P:TLI)\b)
Wikipédia:Transcription du chinois	NA	(?:\bW(?:ikipédia:Transcription du chinois|P:TC)\b)
Aide:Travailler collectivement	NA	(?:\b(?:Aide:Travailler collectivement|WP:COL)\b)
Wikipédia:Usage raisonné des sources de presse	NA	(?:\bW(?:ikipédia:Usage raisonné des sources de presse|P:SP)\b)
Wikipédia:Vandalisme	NA	(?:\bW(?:ikipédia:Vandalisme|P:VAND(?:ALISME)?)\b)
Wikipédia:Wikipédia n'est pas un dictionnaire	NA	(?:\bW(?:ikipédia:Wikipédia n'est pas un dictionnaire|P:WIKT)\b)
