Deletion process	Deletion	(?:\bW(?:P:(?:D(?:PR(?:#(?:[ACFMRT]FD|DRV|NAC))?|ELPRO(?:#(?:[ACFMRT]FD|DRV))?)|(?:P(?:ROCEDURAL)?CLOS|BIGDELET)E|S(?:(?:OFTDELET|CLOS)E|EARCHDEL)|N(?:OQUORUM|ACD)|WITHDRAWN|RELIST|EARLY|XFD)|ikipedia:Deletion (?:proces|forum|venue)s))
Speedy keep	Deletion	(?:\bW(?:P:(?:SK(?:(?:#NO|CRI)T)?|KEEP|CSK)|ikipedia:Speedy keep))
Deletion guidelines for administrators	Deletion	(?:\bW(?:ikipedia:Deletion guidelines for administrators|P:(?:ROUGHCONSENSUS|DGFA)))
Article size	Editing	(?:\bW(?:P:(?:S(?:(?:UBARTIC|IZERU)LE|P(?:LITLIS|INOU)T)|(?:CHOKIN|TOOBI)G|(?:RP|A)S|LENGTH|HASTE)|ikipedia:Article size))
Be bold	Editing	(?:\bW(?:P:(?:B(?:OLD(?:NOTOBLIGATORY)?|NO|B)|(?:SO)?FIXIT|RECKLESS|CAREFUL|GLC)|ikipedia:Be bold))
Disambiguation	Editing	(?:\bW(?:P:(?:D(?:AB(?:N(?:O(?:INCLUDE|T)|AME)|A(?:CRONYM|BBREV)|CO(?:MBINE|NCEPT)|S(?:ISTER|TYLE)|DI(?:SPLAY|C)|RE(?:LATED|F)|LINKS?)?|ETERMINEPRIMARY|(?:OUBLE)?DAB|ISAMBIG|PAGES?|LINKS|BC)?|P(?:RIMARY(?:REDIRECT|TOPIC|USAGE)|T(?:OPIC|M)|ARTIAL)|IN(?:TDAB(?:LINK|S)?|C(?:OMP)?DAB)|N(?:OPRIMARY|AMELIST|WFCTM|CDAB)|F(?:IXDABLINKS|URTHERDAB)|T(?:(?:ITLE)?PTM|WODABS)|(?:CONCEPT|HOWTO)DAB|BUTIDONTKNOWABOUTIT|(?:MULTI|2)DABS|ONEOTHER)|ikipedia:(?:Disambiguation|PRIMARYRED)))
Technical articles	Editing	(?:\bW(?:P:(?:O(?:VERSIMPLIFY|NEDOWN)|TECH(?:-CONTENT|NICAL)|EXPLAINLEAD|UPFRONT|MTAU)|ikipedia:Make technical articles understandable))
Categories, lists, and navigation templates	Editing	(?:\bW(?:P:(?:BIDI(?:RECTIONAL)?|N(?:OTDUPE?|AVBOX)|(?:FILM|PERF)NAV|LINKBACK|AOA[CL]|DOA[CL]|SIDEBAR|CLNT?)|ikipedia:Categories, lists, and navigation templates))
Categorization	Editing	(?:\bW(?:P:(?:(?:T(?:EMPLATE|OPIC)?|HIDDEN|USERNO|FILE|MOS)CAT|C(?:AT(?:DEF(?:INING)?|V(?:ER)?|#[TV]|EGORY)?|G)|S(?:(?:U(?:PER|B)|ET)CAT|ORTKEY)|D(?:(?:RAFTNO|UP)CAT|IFFUSE)|EPON(?:YMOUS)?|PROJCATS)|ikipedia:Categorization))
Categorization of people	Editing	(?:\bW(?:P:(?:(?:(?:EPCATP|PE)ER|LISTA)S|COP(?:S(?:EP)?|DEF|#N|/S)?|S(?:EPARATE|UR)|NAMESORT|MCSTJR)|ikipedia:Categorization of people))
by year	Editing	(?:\bW(?:ikipedia:People by year|P:PBY))
by ethnicity, gender, religion and sexuality	Editing	(?:\bW(?:P:(?:CAT(?:/(?:EGRS|GRS |R)|G(?:ENDER|RS)|EGRS)|E(?:THNICRACECAT|GRS)|FINAL RUNG|GHETTO)|ikipedia:Categorization/Ethnicity, gender, religion and sexuality))
Redirect categories	Editing	(?:\bW(?:P:(?:(?:R(?:ED)?|LISTR)CAT|INCOMPATIBLE)|ikipedia:Categorizing redirects))
User categories	Editing	(?:\bW(?:P:U(?:SERCAT(?:YES|NO)?|CAT)|ikipedia:User categories))
Overcategorization	Editing	(?:\bW(?:P:(?:O(?:C(?:A(?:SSOC|WARD|T)|E(?:GRS|PON)|LOCATION|VENUE|MISC)?|(?:VER(?:LAP)?|PINION)CAT)|S(?:MALL(?:CAT)?|UBJECTIVECAT|HAREDNAME)|(?:ARBITRARY|CANDIDATE|PERF)CAT|N(?:ONDEF(?:INING)?|ARROWCAT)|T(?:RIVIALCAT|OPTEN))|ikipedia:Overcategorization))
Reviewing good articles	Editing	(?:\bW(?:ikipedia:Reviewing good articles|P:RGA))
Subpages	Editing	(?:\bW(?:P:(?:TITLESLASH|S(?:UB|P))|ikipedia:Subpages))
Copying within Wikipedia and Wikimedia	Editing	(?:\bW(?:P:(?:C(?:OPYWITHIN|WW)|ATT(?:REQ|SIT)|R(?:U[DU]|IA)|(?:NO|P)ATT|TFOLWP)|ikipedia:Copying within Wikipedia))
Hatnote use	Editing	(?:\bW(?:P:(?:H(?:AT(?:NOTE(?:PLACE|RULES)|EXTRA)?|N[PRS]?|RULES)|(?:(?:ONESHOR|LEGI)T|EL|TR|1)HAT|N(?:O(?:ARTICLE|TAMB)|AMB)|RE(?:LATED|DHAT)|SIMILAR)|ikipedia:Hatnote))
High-risk templates protection	Editing	(?:\bW(?:ikipedia:High-risk templates|P:H(?:IGHRISK|RT)))
Page blanking	Editing	(?:\bW(?:P:(?:PAGEBLANKING|BLANK)|ikipedia:Page blanking))
Preparing images for upload	Editing	(?:\bW(?:ikipedia:Preparing images for upload|P:(?:PIFU|USOP)))
Recent years	Editing	(?:\bW(?:ikipedia:Recent years|P:RY[BD]?))
Red links	Editing	(?:\bW(?:P:(?:RED(?:LINK(?:BIO|S)?|DEAL|NOT?|BIO|YES)?|CHECKAFTERCREATE|INCOMINGLINKS)|ikipedia:Red link))
Reference desk guidelines	Editing	(?:\bW(?:ikipedia:Reference desk/Guidelines|P:RD/G))
Substitution use	Editing	(?:\bW(?:P:(?:SUBST(?:(?:MUS|NO)T)?|TSUB)|ikipedia:Substitution))
Summary style	Editing	(?:\bW(?:P:(?:S(?:UMMARY|YNC|S)|AVOIDSPLIT|DETAIL)|ikipedia:Summary style))
Updating articles	Editing	(?:\bWikipedia:Updating information)
Version 1.0 Editorial Team assessment	Editing	(?:\bW(?:P:(?:(?:NONSTANDARDCLA|ASSE)SS|1.0/A)|ikipedia:Content assessment))
Broad concept articles	Editing	(?:\bW(?:P:(?:DABCON(?:G(?:AME|EO|OV)|P(?:HYS|ROD)|BRAND|SPORT|MATH|OFF)|B(?:ROAD(?:CONCEPT)?|CA))|ikipedia:Broad-concept article))
Recent year articles	Editing	(?:\bW(?:ikipedia:Recent years|P:RY[BD]?))
Stubs	Editing	(?:\bW(?:P:(?:S(?:TUB(?:S(?:PACING)?|DEF|IFY)?|VSP)|(?:IDEAL|NEW|TAG|DE)STUB|P(?:ROJSTUB|SA))|ikipedia:Stub))
Set index articles	Editing	(?:\bW(?:P:(?:S(?:ET(?:NOTDAB|INDEX)|IA(?:NOTDAB)?)|NOTDAB)|ikipedia:Set index articles))
Redirects	Editing	(?:\bW(?:P:(?:R(?:#(?:C(?:ATEGORY|RD)|ASTONISH|SUPPRESS|HARMFUL|DELETE|KEEP|PLA)|EDIR(?:ECTPROTECTION)?|P(?:ROTECTION|URPOSE)|NEUTRAL|SECT|TOA)?|B(?:LA(?:NKANDREDIRECT|R)|RINT)|N(?:AVNOREDIRECT|OTBROKEN)|(?:DONOTFIXI|TARGE)T|(?:SELF|ED)RED|POFR)|ikipedia:Redirect))
Soft redirects	Editing	(?:\bW(?:P:S(?:OFT(?:REDIR|TEMP)|RD)|ikipedia:Soft redirect))
Article titles	Naming conventions	(?:\bW(?:P:(?:N(?:A(?:M(?:INGCRITERIA|ECHANGES)|TURAL(?:NES|DI)S)|POV(?:TITL|NAM)E|DESC|OUN)|T(?:ITLE(?:(?:SPECIALCHARACTER|CHANGE)S|FORMAT|VAR|TM)?|RANSLITERATE|SC)|D(?:E(?:SCRIPDIS|FINITE)|IFF(?:PUNCT|CAPS))|P(?:OV(?:TITL|NAM)E|RECIS(?:ION|E)|ARENDIS)|C(?:O(?:MM(?:ONNAME|ADIS)|NCISE)|RITERIA)|(?:ITALICTITL|LOWERCAS)E|A(?:T(?:D(?:AB|IS))?|ND)|S(?:MALLDETAILS|INGULAR)|RECOGNIZABILITY|OTHERNAMES|U(?:CRN|E)|QUALIFIER|MOSAT)|ikipedia:Article titles))
Category names	Naming conventions	(?:\bW(?:ikipedia:Category names|P:(?:CATNAME|NCCAT)))
File names	Naming conventions	(?:\bW(?:P:F(?:M(?:V/W|NN)|ILENAMES|NC)|ikipedia:File names))
Naming conventions (acronyms)	Naming conventions	(?:\bW(?:P:(?:ACRONYMTITLE|NCA(?:CRO)?|MOSABBR)|ikipedia:Manual of Style/Abbreviations))
Naming conventions (capitalization)	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (capitalization)|P:NCC(?:APS|PT)))
Naming conventions (country-specific topics)	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (country-specific topics)|P:NCCST))
Naming conventions (definite or indefinite article at beginning of name)	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (definite or indefinite article at beginning of name)|P:(?:NC(?:THE|AN)|THE(?:UNI)?)))
Naming conventions (events)	Naming conventions	(?:\bW(?:P:(?:N(?:CE(?:VENTS)?|OYEAR)|D(?:ESCRIPTO|ISASTE)R)|ikipedia:Naming conventions (events)))
Naming conventions (geographic names)	Naming conventions	(?:\bW(?:P:(?:N(?:C(?:P(?:LACE(?:DAB)?|HILIPPINE)|(?:FALKLA|I)ND|AUST|CS|GN)|BZ)|(?:S(?:COTLAND|RB)|U[KS]|VIET)PLACE|M(?:ODERNPLACENAME|PN)|PLACE(?:DAB)?|WIAN)|ikipedia:Naming conventions (geographic names)))
Naming conventions (numbers and dates)	Naming conventions	(?:\bW(?:P:(?:NC(?:D(?:URATION|ATES)|NUM)|DATERANGETITLES)|ikipedia:Naming conventions (numbers and dates)))
Naming conventions (long lists)	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (long lists)|P:NC(?:L(?:ONGLIST|L)|SPLITLIST)))
Naming conventions (people)	Naming conventions	(?:\bW(?:P:(?:M(?:IDDL(?:ENAM)?E|ONONYM|AIDEN)|N(?:C(?:P(?:DAB)?|BIO)|ICKNAME)|S(?:(?:INGL|TAG)ENAME|PNC)|(?:TITLESINTITLE|INIT)S|PSEUDONYM|JR/SR)|ikipedia:Naming conventions (people)))
Naming conventions (plurals)	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (plurals)|P:(?:PLURAL(?:PT)?|NCPLURAL)))
Naming conventions (technical restrictions)	Naming conventions	(?:\bW(?:P:(?:NC(?:-(?:COLONS?|SLASH)|LOWERCASEFIRST|HASHTAG|TR)|TITLELENGTH)|ikipedia:Naming conventions (technical restrictions)))
Naming conventions (use English)	Naming conventions	(?:\bW(?:P:(?:DI(?:ACRITICS|VIDEDUSE)|E(?:STABLISHED|NGLISH)|NCUE|UEIA)|ikipedia:Naming conventions (use English)))
Aircraft	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (aircraft)|P:(?:NCAIR(?:CRAFT)?|AIR/NC)))
Ancient Romans	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (ancient Romans)|P:(?:ROMANS|NCRN)))
Armenian	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (Armenian)|P:(?:NCARME(?:NIA)?|ARME)N))
Astronomical objects	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (astronomical objects)|P:(?:(?:PLANET|STAR)NAMES|NCASTRO)))
Australian roads	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (Australian roads)|P:(?:AURDNAME|NCAURD)))
Baseball players	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (baseball players)|P:NC-?BASE))
Belgium: castle, country house, château and kasteel	Naming conventions	(?:\bWikipedia:WikiProject Belgium/Castle, country house, château and kasteel naming conventions)
Belgium: alternate language names	Naming conventions	(?:\bWikipedia:WikiProject Belgium/Alternate language names)
Books	Naming conventions	(?:\bW(?:P:(?:NC(?:B(?:OOKS|K)?|-BK)|SUBTITLES?|BOOKDAB)|ikipedia:Naming conventions (books)))
Broadcasting	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (broadcasting)|P:NC-?BC))
Brussels	Naming conventions	(?:\bWikipedia:WikiProject Belgium/Brussels naming conventions)
Burmese	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (Burmese)|P:BURMESE))
Chemistry	Naming conventions	(?:\bW(?:P:(?:C(?:HEMNAME|AES)|(?:NCCHE|ALU)M|MOSCHEM/NAME|SULF)|ikipedia:Naming conventions (chemistry)))
Chinese	Naming conventions	(?:\bW(?:P:(?:NC-(?:CH(?:INA|N)|ZH)|(?:CHINES|ZHNAM)E)|ikipedia:Naming conventions (Chinese)))
Clergy	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (clergy)|P:(?:NC(?:CL|WC)|BISHOP)))
College football	Naming conventions	(?:\bWikipedia:WikiProject College football/Naming conventions)
Comics	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (comics)|P:NCC(?:OMICS|/THE|DAB)))
Companies	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (companies)|P:NCCORP))
Ethnicities and tribes	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (ethnicities and tribes)|P:(?:ETHNICGROUP|NCET(?:/A)?|TRIBE)))
Fauna	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (fauna)|P:(?:(?:MONOTYPI|N)C)?FAUNA))
Films	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (films)|P:(?:NCF(?:ILMS?)?|PRIMARYFILM)))
Flora	Naming conventions	(?:\bW(?:P:(?:NC(?:(cultivar)|FLORA)|(?:MONOTYPIC)?FLORA|CULTIVAR)|ikipedia:Naming conventions (flora)))
Geographic names	Naming conventions	(?:\bW(?:P:(?:N(?:C(?:P(?:LACE(?:DAB)?|HILIPPINE)|(?:FALKLA|I)ND|AUST|CS|GN)|BZ)|(?:S(?:COTLAND|RB)|U[KS]|VIET)PLACE|M(?:ODERNPLACENAME|PN)|PLACE(?:DAB)?|WIAN)|ikipedia:Naming conventions (geographic names)))
Government and legislation	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (government and legislation)|P:NC(?:-(?:ELECT|GAL)|ELECT|GAL)))
Greek	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (Greek)|P:(?:NC)?GREEK))
Hebrew	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (Hebrew)|P:(?:NCHE(?:BREW)?|HE(?:BREW)?)))
Ice hockey	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (ice hockey)|P:NCIH))
Indic	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (Indic)|P:NCIN(?:DIC)?))
Irish categories	Naming conventions	(?:\bW(?:ikipedia:WikiProject Ireland/Ireland Category Norms|P:IRE-CATS))
Korean	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (Korean)|P:NC(?:-(?:SoJ|KO)|KO(?:REAN)?)))
Languages	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (languages)|P:(?:NCL(?:ANG)?|DIALECT)))
Law enforcement agency categories	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (law enforcement agency categories)|P:LEAC(?:AT)?))
Latter Day Saints	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (Latter Day Saints)|P:NCLDS))
Macedonia	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (Macedonia)|P:(?:MOSMAC3?|NCMAC)))
Manuscripts	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (manuscripts)|P:NCMANU(?:SCRIPT)?))
Mining	Naming conventions	(?:\bW(?:ikipedia:WikiProject Mining/Style guide|P:MINESTYLE))
Mongolian	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (Mongolian)|P:(?:(?:NC)?MO|RM)N))
Music	Naming conventions	(?:\bW(?:P:(?:(?:S(?:INGER|ONG)|COMPOSITION|ALBUM|EP)DAB|BAND(?:NAME|DAB)|NCM(?:USIC|DAB)?|MUSICSERIES|DABSONG)|ikipedia:Naming conventions (music)))
New Zealand	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (New Zealand)|P:NCNZ))
Norse mythology	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (Norse mythology)|P:NCNM))
Operas	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (operas)|P:NCO(?:PERA)?))
Political parties	Naming conventions	(?:\bW(?:ikipedia:Naming conventions (political parties)|P:NCP(?:ARTY|P)))
Royalty and nobility	Naming conventions	(?:\bW(?:P:(?:NC(?:(?:BRIT)?PEER|R(?:AN|OY)|N(?:OB|T))|CO(?:GNOMEN|NSORTS)|SOVEREIGN|OBE)|ikipedia:Naming conventions (royalty and nobility)))
Ships	Naming conventions	(?:\bW(?:P:(?:SH(?:IP(?:NAME|DAB)|E4SHIPS)|NC(?:S(?:HIP )?|-SHIPS?))|ikipedia:Naming conventions (ships)))
