Language,Rule Name,number_revisions,number_unique_users,ILLs Total,ILLs in Set,,,,
fr,Wikipédia:Critère des deux ans,18,8,0,0,,,,
fr,Wikipédia:Critères d'admissibilité des articles,751,306,0,0,,,,
fr,Wikipédia:Dates,83,37,0,0,,,,
fr,Wikipédia:Guide contre l'anthropocentrisme,56,28,0,0,,,,
fr,Wikipédia:Guide pratique,76,18,0,0,,,,
fr,Wikipédia:Liens vers les portails,36,25,0,0,,,,
fr,Wikipédia:Limitez l'usage de la couleur dans les articles,115,58,0,0,,,,
fr,Wikipédia:Liste des critères spécifiques de notoriété,144,59,0,0,,,,
fr,Wikipédia:Notoriété des arts visuels,65,39,0,0,,,,
fr,Wikipédia:Notoriété des fanzines,52,19,0,0,,,,
fr,Wikipédia:Protection,266,136,0,0,,,,
fr,Wikipédia:Règles de savoir-vivre,193,127,0,0,,,,
fr,Wikipédia:Transcription des langues indiennes,42,9,0,0,,,,
fr,Wikipédia:Utilisation de données Wikidata dans les articles,5,4,0,0,,,,
ja,Wikipedia:アップロードされたファイルのライセンス,49,31,0,0,,,,
ja,Wikipedia:リダイレクト削除の方針,71,46,0,0,,,,
ja,Wikipedia:即時版指定削除の方針,46,28,0,0,,,,
ja,Wikipedia:各年のスタイルガイド,41,25,0,0,,,,0 1
ja,Wikipedia:版指定削除の方針,46,18,0,0,,,,en Template:Taxobox/doc
ja,Wikipedia:編集フィルターのガイドライン,4,1,0,0,,,,en Wikipedia:Artist's impressions of astronomical objects
ja,Wikipedia:自著作物の持ち込み/削除依頼を出されたら,36,20,0,0,,,,en Wikipedia:Disambiguation/PrimaryTopicDefinition
ja,Wikipedia:色の使用,34,12,0,0,,,,en Wikipedia:Edit filter helper
ja,Wikipedia:著作権/2008年7月13日までの文書対象,201,111,0,0,,,,en Wikipedia:Event coordinator
ja,Wikipedia:著作権/履歴の保存,18,8,0,0,,,,en Wikipedia:Indic transliteration
ja,Wikipedia:表記ガイド/放送関連および配信関連,112,18,0,0,,,,en Wikipedia:Manual of Style/Blazon
ja,Wikipedia:記事名の付け方/ヨーロッパ貴族の記事名,13,3,0,0,,,,en Wikipedia:Manual of Style/Canada-related articles
ja,Wikipedia:記事名の付け方/日本の皇族,5,2,0,0,,,,en Wikipedia:Manual of Style/Cue sports
ja,Wikipedia:関連作品,31,13,0,0,,,,en Wikipedia:Manual of Style/Hawaii-related articles
ja,プロジェクト:キリスト教/キリスト教の記事名と用語表記のガイドライン,38,3,0,0,,,,en Wikipedia:Manual of Style/India-related articles
ja,プロジェクト:フィクション/登場人物と設定の記述,70,22,0,0,,,,en Wikipedia:Manual of Style/Indonesia-related articles
de,Wikipedia:Literatur,776,339,3,0,,,,en Wikipedia:Manual of Style/Ireland-related articles
de,Wikipedia:Meinungsbilder/Regelungen,110,56,6,0,,,,en Wikipedia:Manual of Style/Latter Day Saints
de,Wikipedia:Namenskonventionen/Armenisch,6,6,1,0,,,,en Wikipedia:Manual of Style/Legal
de,Wikipedia:Namenskonventionen/Aserbaidschanisch,15,10,1,0,,,,en Wikipedia:Manual of Style/Pakistan-related articles
de,Wikipedia:Namenskonventionen/Georgisch,22,13,1,0,,,,en Wikipedia:Manual of Style/Philippines-related articles
de,Wikipedia:Namenskonventionen/Hawaiisch,31,13,1,0,,,,en Wikipedia:Manual of Style/Record charts
de,Wikipedia:Namenskonventionen/Indien/Bengalisch,16,5,1,0,,,,en Wikipedia:Manual of Style/Road junction lists
de,Wikipedia:Namenskonventionen/Indien/Tamilisch,132,9,1,0,,,,en Wikipedia:Manual of Style/Singapore-related articles
de,Wikipedia:Richtlinien Geschichte,101,33,1,0,,,,en Wikipedia:Manual of Style/Snooker
de,Wikipedia:Sei tapfer,78,55,1,0,,,,en Wikipedia:Manual of Style/Stringed instrument tunings
de,Wikipedia:Stimmberechtigung,266,141,6,0,,,,en Wikipedia:Miscellany for deletion/Speedy redirect
de,Wikipedia:Themenbereiche,48,31,1,0,,,,en Wikipedia:Naming conventions (Armenian)
en,Wikipedia:Arbitration Committee/CheckUser and Oversight,162,80,2,0,,,,en Wikipedia:Naming conventions (Australian roads)
en,Wikipedia:As of,426,185,3,0,,,,en Wikipedia:Naming conventions (Burmese)
en,Wikipedia:Broad-concept article,40,17,2,0,,,,en Wikipedia:Naming conventions (Canadian stations)
en,"Wikipedia:Categorization/Ethnicity, gender, religion and sexuality",409,124,3,0,,,,en Wikipedia:Naming conventions (Football in Australia)
en,Wikipedia:Deletion process,1115,373,11,0,,,,en Wikipedia:Naming conventions (Irish stations)
en,Wikipedia:Extended image syntax,879,466,8,0,,,,en Wikipedia:Naming conventions (Latter Day Saints)
en,Wikipedia:File mover,219,115,11,0,,,,en Wikipedia:Naming conventions (Macedonia)
en,Wikipedia:File names,224,123,4,0,,,,en Wikipedia:Naming conventions (Mongolian)
en,Wikipedia:Global rights policy,237,110,2,0,,,,en Wikipedia:Naming conventions (New Zealand)
en,Wikipedia:In the news/Recurring items,638,135,3,0,,,,en Wikipedia:Naming conventions (Norse mythology)
en,Wikipedia:Linking to external harassment,417,65,1,0,,,,en Wikipedia:Naming conventions (U.S. state and territory highways)
en,Wikipedia:Logos,321,181,14,0,,,,en Wikipedia:Naming conventions (UK Parliament constituencies)
en,Wikipedia:Manual of Style/Article message boxes,242,104,5,0,,,,en Wikipedia:Naming conventions (UK stations)
en,Wikipedia:Manual of Style/Captions,478,273,5,0,,,,en Wikipedia:Naming conventions (US stations)
en,Wikipedia:Manual of Style/China and Chinese-related articles,457,151,2,0,,,,en Wikipedia:Naming conventions (West Bank)
en,Wikipedia:Manual of Style/Computing (failed proposal),249,69,2,0,,,,en Wikipedia:Naming conventions (ancient Romans)
en,Wikipedia:Manual of Style/France and French-related articles,129,67,1,0,,,,en Wikipedia:Naming conventions (baseball players)
en,Wikipedia:Manual of Style/Hidden text,138,71,1,0,,,,en Wikipedia:Naming conventions (broadcasting)
en,Wikipedia:Manual of Style/Infoboxes,456,228,26,0,,,,en Wikipedia:Naming conventions (clergy)
en,Wikipedia:Manual of Style/Islam-related articles,557,202,4,0,,,,en Wikipedia:Naming conventions (country-specific topics)
en,Wikipedia:Manual of Style/Lists,1160,409,8,0,,,,en Wikipedia:Naming conventions (definite or indefinite article at beginning of name)
en,Wikipedia:Manual of Style/Mathematics,697,256,2,0,,,,en Wikipedia:Naming conventions (ethnicities and tribes)
en,Wikipedia:Manual of Style/Military history,308,94,1,0,,,,en Wikipedia:Naming conventions (government and legislation)
en,Wikipedia:Manual of Style/Music samples,137,98,3,0,,,,en Wikipedia:Naming conventions (ice hockey)
en,Wikipedia:Manual of Style/Philosophy,51,14,1,0,,,,en Wikipedia:Naming conventions (languages)
en,Wikipedia:Manual of Style/Pronunciation,739,301,4,0,,,,en Wikipedia:Naming conventions (lists)
en,Wikipedia:Manual of Style/Television,607,186,2,0,,,,en Wikipedia:Naming conventions (manuscripts)
en,Wikipedia:Manual of Style/Titles,543,231,3,0,,,,en Wikipedia:Naming conventions (numbers and dates)
en,Wikipedia:Naming conventions (astronomical objects),151,51,1,0,,,,en Wikipedia:Naming conventions (operas)
en,Wikipedia:Naming conventions (books),230,75,3,0,,,,en Wikipedia:Naming conventions (places in Bangladesh)
en,Wikipedia:Naming conventions (capitalization),346,168,2,0,,,,en Wikipedia:Naming conventions (political parties)
en,Wikipedia:Naming conventions (chemistry),178,85,4,0,,,,en Wikipedia:Naming conventions (sportspeople)
en,Wikipedia:Naming conventions (comics),161,53,1,0,,,,en Wikipedia:Naming conventions (stations in Poland)
en,Wikipedia:Naming conventions (events),110,41,3,0,,,,en Wikipedia:Naming conventions (writing systems)
en,Wikipedia:Naming conventions (fauna),347,88,1,0,,,,en Wikipedia:No 3D illustrations
en,Wikipedia:Naming conventions (films),256,98,4,0,,,,en Wikipedia:Overcategorization/User categories
en,Wikipedia:Naming conventions (flora),295,67,1,0,,,,en Wikipedia:People by year
en,Wikipedia:Naming conventions (music),353,95,2,0,,,,en Wikipedia:Reference desk/Guidelines
en,Wikipedia:Naming conventions (people),1077,379,13,0,,,,en Wikipedia:Reference desk/Guidelines/Medical advice
en,Wikipedia:Naming conventions (royalty and nobility),705,180,5,0,,,,en Wikipedia:Scientific citation guidelines
en,Wikipedia:Naming conventions (sports teams),20,7,1,0,,,,en Wikipedia:Spellchecking
en,Wikipedia:Naming conventions (television),387,89,2,0,,,,en Wikipedia:Television episodes
en,Wikipedia:Naming conventions (use English),611,172,4,0,,,,en Wikipedia:WikiProject Trinidad and Tobago/Style guide
en,Wikipedia:Naming conventions (video games),164,49,3,0,,,,en Wikipedia:Updating information
en,Wikipedia:Non-free use rationale guideline,479,270,19,0,,,,en Wikipedia:User categories
en,Wikipedia:Notability (astronomical objects),257,45,3,0,,,,en Wikipedia:WikiProject Belgium/Alternate language names
en,Wikipedia:Notability (films),338,164,18,0,,,,en Wikipedia:WikiProject Belgium/Brussels naming conventions
