creation_year	parent_page_title	year	revid	num_ills_that_year
2003	Wikipedia:Revelación de la trama	2013	6	5
2003	Wikipedia:Revelación de la trama	2014	1	5
2003	Wikipedia:Revelación de la trama	2015	1	5
2003	Wikipedia:Revelación de la trama	2017	1	5
2003	Wikipedia:Revelación de la trama	2019	1	5
2004	Wikipedia:Burócratas	2004	15	3
2004	Wikipedia:Burócratas	2005	7	5
2004	Wikipedia:Burócratas	2006	10	5
2004	Wikipedia:Burócratas	2007	27	5
2004	Wikipedia:Burócratas	2008	6	5
2004	Wikipedia:Burócratas	2009	16	5
2004	Wikipedia:Burócratas	2010	20	5
2004	Wikipedia:Burócratas	2011	10	5
2004	Wikipedia:Burócratas	2012	11	5
2004	Wikipedia:Burócratas	2013	11	5
2004	Wikipedia:Burócratas	2014	12	5
2004	Wikipedia:Burócratas	2015	1	5
2004	Wikipedia:Burócratas	2016	2	5
2004	Wikipedia:Burócratas	2018	4	5
2004	Wikipedia:Burócratas	2020	6	5
2004	Wikipedia:Candidaturas a bibliotecario	2004	250	3
2004	Wikipedia:Candidaturas a bibliotecario	2005	2317	4
2004	Wikipedia:Candidaturas a bibliotecario	2006	1182	4
2004	Wikipedia:Candidaturas a bibliotecario	2007	298	4
2004	Wikipedia:Candidaturas a bibliotecario	2008	54	5
2004	Wikipedia:Candidaturas a bibliotecario	2009	10	5
2004	Wikipedia:Candidaturas a bibliotecario	2010	39	5
2004	Wikipedia:Candidaturas a bibliotecario	2011	26	5
2004	Wikipedia:Candidaturas a bibliotecario	2012	46	5
2004	Wikipedia:Candidaturas a bibliotecario	2013	24	5
2004	Wikipedia:Candidaturas a bibliotecario	2014	12	5
2004	Wikipedia:Candidaturas a bibliotecario	2015	14	5
2004	Wikipedia:Candidaturas a bibliotecario	2016	4	5
2004	Wikipedia:Candidaturas a bibliotecario	2017	19	5
2004	Wikipedia:Candidaturas a bibliotecario	2018	4	5
2004	Wikipedia:Candidaturas a bibliotecario	2019	4	5
2004	Wikipedia:Candidaturas a bibliotecario	2020	3	5
2004	Wikipedia:Enlaces externos	2004	16	4
2004	Wikipedia:Enlaces externos	2005	27	4
2004	Wikipedia:Enlaces externos	2006	29	5
2004	Wikipedia:Enlaces externos	2007	45	5
2004	Wikipedia:Enlaces externos	2008	36	5
2004	Wikipedia:Enlaces externos	2009	41	5
2004	Wikipedia:Enlaces externos	2010	30	5
2004	Wikipedia:Enlaces externos	2011	35	5
2004	Wikipedia:Enlaces externos	2012	13	5
2004	Wikipedia:Enlaces externos	2013	21	5
2004	Wikipedia:Enlaces externos	2014	6	5
2004	Wikipedia:Enlaces externos	2015	5	5
2004	Wikipedia:Enlaces externos	2016	8	5
2004	Wikipedia:Enlaces externos	2017	12	5
2004	Wikipedia:Enlaces externos	2018	2	5
2004	Wikipedia:Enlaces externos	2019	1	5
2004	Wikipedia:Enlaces externos	2020	4	5
2004	Wikipedia:Esta página está protegida	2004	22	5
2004	Wikipedia:Esta página está protegida	2005	41	5
2004	Wikipedia:Esta página está protegida	2006	69	5
2004	Wikipedia:Esta página está protegida	2007	20	5
2004	Wikipedia:Esta página está protegida	2008	4	5
