Wikipédia:Étiquette	NA	(?:\bW(?:ikipédia:Étiquette|P:(?:Étiquette|ET))\b)
Wikipédia:Faux-nez	NA	(?:\bW(?:ikipédia:Faux-nez|P:F(?:aux-nez|N))\b)
Wikipédia:Guerre d'édition	NA	(?:\bW(?:P:(?:G(?:uerre d'édition|E)|R[01]R)|ikipédia:Guerre d'édition)\b)
Wikipédia:Guide contre l'anthropocentrisme	NA	(?:\bW(?:P:(?:Guide contre l'anthropocentrisme|ANT)|ikipédia:Guide contre l'anthropocentrisme)\b)
Wikipédia:Guide pratique	NA	(?:\bW(?:P:(?:G(?:uide pratique|UIDE|P)|HOW-TO)|ikipédia:Guide pratique)\b)
Wikipédia:Harcèlement	NA	(?:\bW(?:P:(?:Harcèlement|Wikitraque|OUTING|NON)|ikipédia:Harcèlement)\b)
Projet:Hockey sur glace/Conventions/Notoriété	NA	(?:\bWP:hockey\b)
Wikipédia:Importance disproportionnée	NA	(?:\bW(?:P:(?:Importance disproportionnée|PROP(?:ORTION)?)|ikipédia:Importance disproportionnée)\b)
Wikipédia:Internationalisation	NA	(?:\bW(?:ikipédia:Internationalisation|P:(?:Internationalisation|GI))\b)
Wikipédia:Jouer avec les principes, règles et recommandations de Wikipédia	NA	(?:\bW(?:P:(?:J(?:ouer avec les principes|OUER)|GAME)|ikipédia(?::Jouer avec les principes)?)\b)
Wikipédia:Liens externes	NA	(?:\bW(?:P:(?:L(?:iens externes|IENS|E)|BLOG)|ikipédia:Liens externes)\b)
Wikipédia:Liens internes	NA	(?:\bW(?:P:(?:B(?:ARREVERTICALE|V)|L(?:iens internes|I)|[PR]LI)|ikipédia:Liens internes)\b)
Wikipédia:Limitez l'usage de la couleur dans les articles	NA	(?:\bW(?:P:(?:Limitez l'usage de la couleur dans les articles|COU(?:LEUR)?)|ikipédia:Limitez l'usage de la couleur dans les articles)\b)
Wikipédia:Liste des critères spécifiques de notoriété	NA	(?:\bW(?:P:(?:Liste des critères spécifiques de notoriét|NDA)|ikipédia:Liste des critères spécifiques de notoriét)\b)
Wikipédia:Mise en forme des images	NA	(?:\bW(?:P:(?:Mise en forme des images|IM(?:AGE|G))|ikipédia:Mise en forme des images)\b)
Wikipédia:Mobile	NA	(?:\bW(?:P:(?:M(?:OBILE|obile)|PDA|WAP)|ikipédia:Mobile)\b)
Wikipédia:N'hésitez pas !	NA	(?:\bW(?:P:(?:N(?:'hésitez pas|HP)|BOLD|OSEZ)|ikipédia:N'hésitez pas)\b)
Wikipédia:Ne jouez pas au con !	NA	(?:\bW(?:P:N(?:e jouez pas au con|CON)|ikipédia:Ne jouez pas au con)\b)
Wikipédia:Ne mordez pas les nouveaux	NA	(?:\bW(?:P:(?:N(?:e mordez pas les nouveaux|MPN)|MORD(?:RE)?)|ikipédia:Ne mordez pas les nouveaux)\b)
Wikipédia:Ne pas désorganiser Wikipédia pour une argumentation personnelle	NA	(?:\bW(?:P:(?:Ne pas désorganiser Wikipédia pour une argumentation personnelle|POINT|MOI)|ikipédia:Ne pas désorganiser Wikipédia pour une argumentation personnelle)\b)
Wikipédia:Néologisme	NA	(?:\bW(?:ikipédia:Néologisme|P:N(?:éologisme|EO))\b)
Wikipédia:Nom d'utilisateur	NA	(?:\bW(?:ikipédia:Nom d'utilisateur|P:N(?:om d'utilisateur|U))\b)
Wikipédia:Nom d'utilisateur connu	NA	(?:\bW(?:ikipédia:Nom d'utilisateur connu|P:N(?:om d'utilisateur connu|UC))\b)
Wikipédia:Notoriété	NA	(?:\bW(?:P:(?:N(?:(?:CON|LIS)T|OT(?:PER|AB)|otoriét|PREUV|G)?|CGN(?:PUB|MO)?|P(?:ERNOT|UB)|ROLE)|ikipédia:Notoriét)\b)
Wikipédia:Notoriété dans le domaine de la pornographie	NA	(?:\bW(?:ikipédia:Notoriété dans le domaine de la pornographie|P:N(?:otoriété dans le domaine de la pornographie|AP))\b)
Wikipédia:Notoriété dans le football	NA	(?:\bW(?:P:(?:Notoriété dans le football|foot(?:ball)?)|ikipédia:Notoriété dans le football)\b)
Wikipédia:Notoriété de la musique	NA	(?:\bW(?:P:N(?:otoriété de la musique|M(?:AO?|C)?|AOM|DC)|ikipédia:Notoriété de la musique)\b)
Wikipédia:Notoriété des arts visuels	NA	(?:\bW(?:ikipédia:Notoriété des arts visuels|P:N(?:otoriété des arts visuels|AV))\b)
Wikipédia:Notoriété des entreprises, sociétés et produits	NA	(?:\bW(?:P:N(?:otoriété des entreprises|E(?:S(?:PE?)?)?|DE|PS)|ikipédia:Notoriété des entreprises)\b)
Wikipédia:Notoriété des événements	NA	(?:\bW(?:P:(?:N(?:otoriété des événements|EVEN[CENSU]?)|R(?:OUTINE|APID)|SENSA(?:TION|S)|CRIME)|ikipédia:Notoriété des événements)\b)
Wikipédia:Notoriété des fanzines	NA	(?:\bW(?:P:N(?:otoriété des fanzines|FANZ)|ikipédia:Notoriété des fanzines)\b)
Wikipédia:Notoriété des jeux de société	NA	(?:\bW(?:ikipédia:Notoriété des jeux de sociét|P:N(?:otoriété des jeux de sociét|J))\b)
Wikipédia:Notoriété des œuvres de fiction	NA	(?:\bW(?:P:(?:N(?:otoriété des œuvres de fiction|FP?|PF)|FICTION)|ikipédia:Notoriété des œuvres de fiction)\b)
Wikipédia:Notoriété des personnalités politiques	NA	(?:\bW(?:ikipédia:Notoriété des personnalités politiques|P:N(?:otoriété des personnalités politiques|PP))\b)
Wikipédia:Notoriété des personnes	NA	(?:\bW(?:P:(?:N(?:otoriété des personnes|PER(?:CI|TV)?|ECR|THE|DP|SU)|PERGEN)|ikipédia:Notoriété des personnes)\b)
Wikipédia:Notoriété des sites web	NA	(?:\bW(?:P:N(?:otoriété des sites web|S?W)|ikipédia:Notoriété des sites web)\b)
Wikipédia:Notoriété des sportifs	NA	(?:\bW(?:P:N(?:otoriété des sportifs|SG?)|ikipédia:Notoriété des sportifs)\b)
Wikipédia:Nouveau départ	NA	(?:\bW(?:ikipédia:Nouveau départ|P:N(?:ouveau départ|D))\b)
Wikipédia:Pantin	NA	(?:\bW(?:P:(?:P(?:ANTIN|antin)|MEAT)|ikipédia:Pantin)\b)
Wikipédia:Pas d'attaque personnelle	NA	(?:\bW(?:P:(?:P(?:as d'attaque personnelle|AP)|WAT)|ikipédia:Pas d'attaque personnelle)\b)
Wikipédia:Pas de menace de poursuites judiciaires	NA	(?:\bW(?:P:(?:P(?:as de menace de poursuites judiciaires|MPJ)|MPJ)|ikipédia:Pas de menace de poursuites judiciaires)\b)
Wikipédia:Principe de moindre surprise	NA	(?:\bW(?:ikipédia:Principe de moindre surprise|P:P(?:rincipe de moindre surprise|MS))\b)
Wikipédia:Protection	NA	(?:\bW(?:ikipédia:Protection|P:P(?:rotection|R))\b)
Wikipédia:Règle des trois révocations	NA	(?:\bW(?:ikipédia:Règle des trois révocations|P:R(?:ègle des trois révocations|3R))\b)
Wikipédia:Résolution de conflit	NA	(?:\bW(?:ikipédia:Résolution de conflit|P:R(?:ésolution de conflit|DC))\b)
Wikipédia:Résumé introductif	NA	(?:\bW(?:P:(?:R(?:ésumé introductif|I)|INTRO)|ikipédia:Résumé introductif)\b)
Wikipédia:Révocateur	NA	(?:\bW(?:P:R(?:évocateur|OLLBACK)|ikipédia:Révocateur)\b)
Wikipédia:Scission de contenu	NA	(?:\bW(?:P:(?:S(?:cission de contenu|C)|FORK)|ikipédia:Scission de contenu)\b)
Wikipédia:Sections anecdotiques	NA	(?:\bW(?:P:(?:Sections anecdotiques|TRIVIA)|ikipédia:Sections anecdotiques)\b)
Wikipédia:Semi-protection étendue	NA	(?:\bW(?:ikipédia|P):Semi-protection étendue\b)
Aide:Signature	NA	(?:\b(?:Aide:Signature|WP:SIGN)\b)
Wikipédia:Sources primaires, secondaires et tertiaires	NA	(?:\bW(?:P:S(?:ources primaires|PS[PS]?)|ikipédia:Sources primaires)\b)
Wikipédia:Sous-page	NA	(?:\bW(?:ikipédia:Sous-page|P:S(?:ous-page|SP))\b)
Wikipédia:Style encyclopédique	NA	(?:\bW(?:P:(?:S(?:tyle encyclopédique|TYLE)|PRECIS|CLAIR)|ikipédia:Style encyclopédique)\b)
Wikipédia:Supposer la bonne foi	NA	(?:\bW(?:P:(?:Supposer la bonne foi|FOI)|ikipédia:Supposer la bonne foi)\b)
Wikipédia:Termes à utiliser avec précaution	NA	(?:\bW(?:ikipédia:Termes à utiliser avec précaution|P:T(?:ermes à utiliser avec précaution|UP))\b)
Wikipédia:Toujours commenter vos modifications dans la boîte de résumé	NA	(?:\bW(?:P:(?:Toujours commenter vos modifications dans la boîte de résum|COMMENT)|ikipédia:Toujours commenter vos modifications dans la boîte de résum)\b)
Wikipédia:Traduction automatique	NA	(?:\bW(?:ikipédia:Traduction automatique|P:T(?:raduction automatique|A))\b)
Wikipédia:Transcription des langues indiennes	NA	(?:\bW(?:ikipédia:Transcription des langues indiennes|P:T(?:ranscription des langues indiennes|LI))\b)
Wikipédia:Transcription du chinois	NA	(?:\bW(?:ikipédia:Transcription du chinois|P:T(?:ranscription du chinois|C))\b)
Aide:Travailler collectivement	NA	(?:\b(?:Aide:Travailler collectivement|WP:COL)\b)
Wikipédia:Usage raisonné des sources de presse	NA	(?:\bW(?:ikipédia:Usage raisonné des sources de presse|P:(?:Usage raisonné des sources de presse|SP))\b)
Wikipédia:Vandalisme	NA	(?:\bW(?:P:V(?:AND(?:ALISME)?|andalisme)|ikipédia:Vandalisme)\b)
Wikipédia:Wikipédia n'est pas un dictionnaire	NA	(?:\bW(?:P:W(?:ikipédia n'est pas un dictionnaire|IKT)|ikipédia:Wikipédia n'est pas un dictionnaire)\b)
